ref,text,modern_text
,"Каравши, Бог та й змилуєцця.","Покаравши, Бог та й змилується."
,"Бог дасть нуждочку, Бог дасть що і доровить.","Бог дасть нуждочку, Бог дасть що і зцілить."
,"Кого Бог засмутить, того й потішить.","Кого Бог засмутить, того й потішить."
,"Бог покорить, Бог і простить.","Бог покорить, Бог і простить."
,"Бог хоч не скорен, та вдучен.","Бог хоч не скорий, та влучний."
,Од Бога нігде не сховаєсся.,Від Бога ніде не сховаєшся.
,"Од людей сховаєсся, а од Бога ні.","Від людей сховаєшся, а від Бога ні."
50,"Бог знайде, хоч і в печі замуруй.","Бог знайде, хоч і в печі замуруй."
,Бог все бачить.,Бог все бачить.
,Бог не карає прутом.,Бог не карає прутом.
,"Бог не трубить, коли чоловіка губить.","Бог не трубить, коли чоловіка губить."
,"Що Бог навіне, того ніхто не мине.","Що Бог навіє, того ніхто не мине."
,У Бога всього много.,У Бога всього багато.
,"Бог багатий, то й нам дасть.","Бог багатий, то й нам дасть."
,Бог старий господар.,Бог старий господар.
,"Бог батько, государь дядько.","Бог батько, государ дядько."
60,"Що Бог дасть, то не напасть.","Що Бог дасть, то не напасть."
,"Що Бог дає, то все к луччому.","Що Бог дає, то все на краще."
,"Що Бог не робить, то все на лучче.","Що Бог не робить, то все на краще."
,"На Бога надійся, а сам не плошай.","На Бога надійся, а сам не плошай."
,"На Бога складайся, розуму ж тримайся.","На Бога складайся, розуму ж тримайся."
,"Бога взивай, а рука прикладай.","Бога взивай, а руку прикладай."
66,"Богу молись, а сам стережись.","Богу молись, а сам стережись."
68,"«Дай, Боже!» -- «Роби, небоже!»","«Дай, Боже!» — «Роби, небоже!»"
,"Роби, небоже, то й Бог поможе.","Роби, небоже, то й Бог поможе."
70,"Боже поможи, а сам не лежи!","Боже поможи, а сам не лежи!"
,"Не все ж Біг дарує, про що люд міркує.","Не все ж Бог дарує, про що люд міркує."
,Бог за працю має щось дати.,Бог за працю має щось дати.
,"Бачить Бог з неба, що кому треба.","Бачить Бог з неба, що кому треба."
,"Кого Бог сотворить, того не уморить.","Кого Бог сотворить, того не уморить."
,"Дав Бог роток, дасть і кусок.","Дав Бог роток, дасть і кусок."
,"Хто дав зуби, дасть й хліб до губи.","Хто дав зуби, дасть й хліб до губи."
,"Бог батько: як буде нас тримати, то буде й годувати.","Бог батько: як буде нас тримати, то буде й годувати."
,"Який Бог змочив, такий і висушить.","Який Бог змочив, такий і висушить."
,Дасть Бог день — дасть і пожиток.,Дасть Бог день — дасть і пожиток.
80,"Що вбогий, що багатий — у Бога все рівно.","Що вбогий, що багатий — у Бога все рівно."
,"Бог нерівно ділить: жде, щоб сами ділилися.","Бог нерівно ділить: жде, щоб самі ділилися."
,"Чоловік мислить, а Бог рядить.","Чоловік мислить, а Бог рядить."
,"Чоловік стріляє, а Біг кулі носить.","Чоловік стріляє, а Бог кулі носить."
,"Чоловік крутить, а Бог розкручує.","Чоловік крутить, а Бог розкручує."
,"Коля сіно в стозі, то забув о Бозі.","Коли сіно в стозі, то забув про Бога."
,"Хто — коли тревога, то до Бога, а по тревозі забуде о Бозі — горе тому.","Хто — коли тривога, то до Бога, а по тривозі забуде про Бога — горе тому."
,"Коли зле гадаєш, чом ж Бога благаєш!","Коли зле гадаєш, чом же Бога благаєш!"
,"На Бога пеняєш, а сам кульгаєш.","На Бога пеняєш, а сам кульгаєш."
,Богом нічого жартовати.,Богом нічого жартувати.
90,З Богом не з хлопцем жартовати.,З Богом не з хлопцем жартувати.
,"Хто з Богом, з тім Бог.","Хто з Богом, з тим Бог."
,"Хто против Бога, то й Біг против нему.","Хто проти Бога, то й Бог проти нього."
,Від серця до Бога навпростець дорога.,Від серця до Бога навпростець дорога.
,Від серця до неба шляха не треба.,Від серця до неба шляху не треба.
96,"ГРІХ по дорозі біг, та до нас ліг.","Гріх по дорозі біг, та до нас ліг."
,На гріх не спасесся.,На гріх не спасешся.
,Всяк чоловік не без гріха.,Всякий чоловік не без гріха.
,"Чоловік, що ступить, то згрішить.","Чоловік, що ступить, то згрішить."
100,"Чоловік не ангол, жеб не зогрішив.","Чоловік не ангел, щоб не зогрішив."
,"Гріх не личком завьязати, та під лавку сховати.","Гріх не личком зав'язати, та під лавку сховати."
,Всякая неправда гріх.,Всяка неправда гріх.
,"Все мине, а гріх зістане.","Все мине, а гріх зостанеться."
,Біг гріхом карає.,Бог гріхом карає.
,Незнай гріха не чинить.,Незнання гріха не чинить.
,"Хто чого не знає, тому то Бог прощає.","Хто чого не знає, тому то Бог прощає."
,"Як не прийме Біг гріхи за жарт, то буде шемлесту багато.","Як не прийме Бог гріхи за жарт, то буде сорому багато."
,"Гріх не йде в губу, та з губи.","Гріх не йде в губу, та з губи."
110,"Кілько смаку, тілько й гріху.","Скільки смаку, стільки й гріху."
,"Не скілько смаку, тілько більш гріху.","Не скільки смаку, стільки більше гріху."
,"В чім не маш смаку, не маш і гріху.","В чому не маєш смаку, не маєш і гріху."
,За тую криху — мало гріху!,За ту крихту — мало гріху!
,За сеє Бог не повісить.,За це Бог не повісить.
117,"Гріх не гріх, аби Бог простив.","Гріх не гріх, аби Бог простив."
,"Чи гріх, чи два, а вже не видержу!","Чи гріх, чи два, а вже не витерплю!"
120,Гріха боятись.,Гріха боятися.
,"Де гріх, там і покута.","Де гріх, там і покута."
125,"Адам ззів кисличку, а у нас оскома на зубах.","Адам з'їв кисличку, а у нас оскома на зубах."
128,"ПОСТИМО, як Рахмани.","Постимо, як Рахмани."
129,При пості добре відбути гості.,При пості добре відбути гості.
131,"Як начнем постить, то нічого буде христить.","Як начнемо поститись, то нічого буде хрестити."
,"Говів, Богу не вимовно.","Говів, Богу не вимовно."
,З дурного говіння не буде спасіння.,З дурного говіння не буде спасіння.
,"Говіє, та у рот віє.","Говіє, та у рот віє."
140,За Богом МОЛИТВА не пропадає.,За Богом молитва не пропадає.
,"Розумний молицця, а дурень плаче.","Розумний молиться, а дурень плаче."
,"Хто у Бога просить, тому й Бог дає.","Хто у Бога просить, тому й Бог дає."
,"Нема оченаш, нема хліба.","Нема «Отче наш», нема хліба."
,"Хто не вміє молитися, най іде на море учитися.","Хто не вміє молитися, нехай іде на море вчитися."
,Через Святих до Бога.,Через Святих до Бога.
,"Через слуг до пана, а через Святих до Бога.","Через слуг до пана, а через Святих до Бога."
,"Пошли, Боже, з неба, чого нам треба.","Пошли, Боже, з неба, чого нам треба."
150,Господи помилуй — або дай що!,Господи помилуй — або дай що!
,"Оце тобі Господи, оце мені!","Оце тобі Господи, оце мені!"
,"Нехай мене Бог боронить від лихої напасти, від панської карпости, від людської ненависти.","Нехай мене Бог боронить від лихої напасти, від панської корисності, від людської ненависті."
,"Боже дай добре, та не довго ждати.","Боже дай добре, та не довго ждати."
155,"Прости, Боже, сей раз та ще десять разів: а там — побачимо.","Прости, Боже, цей раз та ще десять разів: а там — побачимо."
157,"Обіцяв Бог дати, тіко казав заждати.","Обіцяв Бог дати, тільки казав зачекати."
,"Хоч кільки молися, з біди не вимолисся.","Хоч скільки молися, з біди не вимолишся."
160,"Богу молись, а до берегу гребись.","Богу молись, а до берега гребись."
162,"Звін до ЦЕРКВИ скликає, а сам в ній не буває.","Дзвін до церкви скликає, а сам у ній не буває."
,"Куди ходім, то ходім, аби не до церкви.","Куди ходімо, то ходімо, аби не до церкви."
168,"Коли не прийду до церкви, то все паски святять.","Коли не прийду до церкви, то все паски святять."
170,"Бог Богом, а люде людьми.","Бог Богом, а люди людьми."
,"Треба неба, треба й хліба.","Треба неба, треба й хліба."
,Набожний — як Жид подорожній.,Набожний — як Жид подорожній.
,"Те іде молицьця, а те живицьця (красти).","Те іде молитися, а те живитися (красти)."
,"Святий та Божий! свічки поїв, а вночі сидить.","Святий та Божий! Свічки поїв, а вночі сидить."
,"Рукою (на молитві) махаєш, а думком скрізь літаєш.","Рукою (на молитві) махаєш, а думкою скрізь літаєш."
,"Постава свята, а сумління злодійське.","Постава свята, а сумління злодійське."
,"На Бога дивицця, а чорта бачить.","На Бога дивиться, а чорта бачить."
180,"Борода, як у владики, а сумління як у шибеника.","Борода, як у владики, а сумління як у шибеника."
,"Показує дорогу, а сам в болото лізе.","Показує дорогу, а сам у болото лізе."
,Щодень Бога хвалить і що день людей дурить.,Щодня Бога хвалить і щодня людей дурить.
185,У Бога щодня празник!,У Бога щодня свято!
187,"Сьогодня не празник, ати нам не вказник.","Сьогодні не свято, то й нам не вказник."
,"Три дні заходу, а день празнику.","Три дні заходу, а день свята."
,"Хто святові рад, то й до світа вп'ється.","Хто святу рад, то й до світанку вп'ється."
,"ЧОРТ чорний, а біс рябенький.","Чорт чорний, а біс рябенький."
,"Чорт не спить, але людей зводить.","Чорт не спить, але людей зводить."
,Чорт і горами перевертає.,Чорт і горами перевертає.
,"Хиба не чорт, щоб не спокусив!","Хіба не чорт, щоб не спокусив!"
,Чорт кого не підмане!,Чорт кого не підмане!
,Чорт ладану боїцця.,Чорт ладану боїться.
,"До Бога важкий шлях, а до пекла прямесенький.","До Бога важкий шлях, а до пекла прямесенький."
,ЧЕРНЕЧА злоба до гроба.,Чернеча злоба до гроба.
,"Чорна риза не спасе, а біла в гріх не введе.","Чорна ряса не спасе, а біла в гріх не введе."
,"Як рибі без води, так черницю без монастиря.","Як рибі без води, так черниці без монастиря."
,"Попів гудьмо, а попами будьмо.","Попів гудьмо, а попами будьмо."
,"Коли маєш сто кіп, то будеш піп.","Коли маєш сто кіп, то будеш піп."
,Піп — золотий спіп.,Піп — золотий сніп.
210,"На те піп посвятився, щоб по церкві крутався.","На те піп посвятився, щоб по церкві крутався."
212,"Піп жпє з олтаря, а писар з каламаря.","Піп живе з вівтаря, а писар з каламаря."
216,"Чиї ворота минеш, а попових не минеш.","Чиї ворота минеш, а попових не минеш."
218,Попа одним обідом не нагодуєш.,Попа одним обідом не нагодуєш.
222,"Гудимо попа, а піп як ягода.","Гудимо попа, а піп як ягода."
,"Піп єси, а гріх єси.","Піп єси, а гріх єси."
225,"Нема дурнішого од попа: люде сплачуть, а він співає.","Нема дурнішого від попа: люди сплачуть, а він співає."
231,У ВОРОЖКИ хліба трошки.,У ворожки хліба трошки.
,Ворожка з бісом накладає.,Ворожка з бісом накладає.
,"Хто ворожить, той душею позожить.","Хто ворожить, той душею заплатить."
,"Не так буде, як ворожка шепче; а так буде, як Бог дасть.","Не так буде, як ворожка шепче; а так буде, як Бог дасть."
,"Гірша ВІДЬМА вчена, як родима.","Гірша відьма вчена, як родима."
,"Хто волохатий, той буде багатий.","Хто волохатий, той буде багатий."
,"Ластівки вилітають, годинку обіцяють.","Ластівки вилітають, погоду обіцяють."
310,"Як коси довгі, то й зіма довга.","Як коси довгі, то й зима довга."
320,"Дай, Боже, па пожиток (як колть кабана)!","Дай, Боже, на пожиток (як колоти кабана)!"
,Кукуріку на свою голову!,Кукуріку на свою голову!
,На свою голову!,На свою голову!
,"Тік притік, починка приволік.","Тік притік, починка приволік."
,"Бусень, бусень! ні тобі голоту, а ти мені жита копу.","Бусень, бусень! ні тобі голоту, а ти мені жита копу."
,"Гуси, гуси! нате вам на гніздечко, а нам на здоров'ячко.","Гуси, гуси! нате вам на гніздечко, а нам на здоров'ячко."
,"Гусі, гусі! завьяжу вам дорогу, щоб не втрапили додому.","Гуси, гуси! зав'яжу вам дорогу, щоб не вцілили додому."
,"Гусі, гусі! колесом, червоним поясом!","Гуси, гуси! колесом, червоним поясом!"
,Патна дорога!,Пряма дорога!
,"На тобі, ластовко, на гніздо.","На тобі, ластівко, на гніздо."
330,"Оси, оси, які ви тупопосі! принесіть мені меду.","Оси, оси, які ви тупоносі! принесіть мені меду."
,"Топчу, топчу ряст; дай, Боже, потоптати й того року діждати.","Топчу, топчу ряст; дай, Боже, потоптати й того року діждати."
,Щоб на той год діждати рясту топтати.,Щоб на той рік діждати рясту топтати.
,"Дощ, дощ, перестань: я піду па раштань, Богу молицьця, Христу поклоницьця.","Дощ, дощ, перестань: я піду на хрещатий, Богу молитися, Христу поклонитися."
,"Дощ, дощ, пропусти, я поїду в три кусти.","Дощ, дощ, пропусти, я поїду в три кусти."
,"Не йди, дощику, дам ті борщику; поставлю на дубоньці, прилетять три голубоньці; та возьмуть тя на крилоньки, занесуть тя в чужиноньку.","Не йди, дощику, дам тобі борщику; поставлю на дубочку, прилетять три голубочки; та візьмуть тебе на крилоньки, занесуть тебе в чужиноньку."
,"Дощику, дощику! зварю тобі борщику, в новенькому горщику, поставлю на дубочку: дубочок схитнувся, а дощик линувся -- цебром, відром, дійничкою, над нашою пашничкою.","Дощику, дощику! зварю тобі борщику, в новенькому горщику, поставлю на дубочку: дубочок схитнувся, а дощик линувся — цебром, відром, дійничкою, над нашою пашничкою."
,"Бий, дзвоне, бий! хмару розбий! Нехай хмари на Татаре, а сонечко па хрестяне!","Бий, дзвоне, бий! хмару розбий! Нехай хмари на татар, а сонечко на хрестян!"
,"Сонечко, сонечко! виглянь у віконечко: твої дітоцьки плачуть, істоньки хочуть.","Сонечко, сонечко! виглянь у віконечко: твої діточки плачуть, їстоньки хочуть."
,"Комашки, комашки, ховайте подушки, бо Татаре йдуть.","Комашки, комашки, ховайте подушки, бо татари йдуть."
,"Мурашки, мурашки, поховайте подушки.","Мурашки, мурашки, поховайте подушки."
340,"Гайку, гайку, дай гриба и бабку! сироїжку з добру діжку, красноголовця з доброго молодця.","Гайку, гайку, дай гриба й бабку! сироїжку з добру діжку, красноголовця з доброго молодця."
,"Морозе, морозе, іди куті їсти!","Морозе, морозе, іди куті їсти!"
,"Узвар на базар, а кутя на покутя.","Узвар на базар, а куття на покуття."
,"Віншую вас з цим Новим роком, щоб вам вилізла кутя боком.","Вітаю вас з цим Новим роком, щоб вам вилізла куття боком."
,"Сійся, родися, жито-пшениця, всіляка пашниця. На щастя, на здоров'я, на той Новий рік, щоб було ліпше, як торік.","Сійся, родися, жито-пшениця, всіляка пашниця. На щастя, на здоров'я, на той Новий рік, щоб було краще, ніж торік."
,"Верба бе, не я б'ю; за тиждень Великдень. Будь великий, як верба, а здоровий як вода, а багатий, як земля.","Верба б'є, не я б'ю; за тиждень Великдень. Будь великий, як верба, а здоровий як вода, а багатий, як земля."
,"Не я бью, верба бье -- якая? святая.","Не я б'ю, верба б'є — яка? свята."
,"Верба хлбе, бий до сліз! Не я б'ю -- верба бье.","Верба б'є, бий до сліз! Не я б'ю — верба б'є."
249,«Христос воскрес!» -- «Во істину воскрес!»,«Христос воскрес!» — «Воістину воскрес!»
,Діждалися Божої паски.,Діждалися Божої паски.
251,Нехай над ним земля пером!,Нехай над ним земля пером!
,Нехай йому земля легка!,Нехай йому земля легка!
,Царство небесне! пером земля над ним! нехай со святими почиває та й нас дожидає!,Царство небесне! пером земля над ним! нехай зі святими спочиває та й нас дожидає!
,"Царство небесне, вічний покій преставшійся душі.","Царство небесне, вічний спокій преставшій душі."
,Нехай з Богом спочиває.,Нехай з Богом спочиває.
,Легко лежать!,Легко лежати!
,"Дай вам, Боже, легко лежати мі Христа в очі видати.","Дай вам, Боже, легко лежати і Христа в очі видати."
,"Хто мене помьянув, щоб кий не минув!","Хто мене пом'янув, щоб кий не минув!"
,"Як би не зуби, та не губи, була б душа на руки.","Як би не зуби, та не губи, була б душа на місці."
,"Так хтось згадав, що вчорашній борщ відригнувся.","Так хтось згадав, що вчорашній борщ відригнувся."
370,На здоров'я! (як чхне),На здоров'я! (як чхне)
,"На здоров'я, на сто літ свиней пасти!","На здоров'я, на сто літ свиней пасти!"
,На здоров'я! спичка в ніс!,На здоров'я! скалка в ніс!
,Ні вроку.,Ні вроку.
,"Дай, Боже, наперед лучче!","Дай, Боже, наперед краще!"
,Великий рости!,Великим рости!
,"Чує щось душа, та мені не каже.","Чує щось душа, та мені не каже."
,"Сниться мі перед очі -- як вдень, так вночі.","Сниться мені перед очі — як вдень, так вночі."
382,Широкий світ.,Широкий світ.
,Глянеш по Божому світу!,Глянеш по Божому світу!
,Ніхто не зна є о Божім світі.,Ніхто не знає про Божий світ.
,"Кілько світа, тілько й дива.","Скільки світу, стільки й дива."
,"Хто в світі це бував, той ні дива не видав.","Хто в світі не бував, той ні дива не видав."
,У Бога світа багацько.,У Бога світу багато.
,Ніхто не може світа пережити.,Ніхто не може світу пережити.
390,Мири вічностію з давня цаозиваються.,Мири вічністю здавна називаються.
,"Як буде місяць чернець, то буде й світу кінець.","Як буде місяць чернець, то буде й світу кінець."
,Усе тінь минуща: одна річ живуща -- світ з Богом.,Усе тінь минуща: одна річ живуща — світ з Богом.
,"Нема тієї драбини, щоб до неба достала.","Нема тієї драбини, щоб до неба дістала."
,"Як небеся височина, так морська глибина.","Як небесна височина, так морська глибина."
,"Що світа, то й мира.","Що світу, то й миру."
,"Як світ великий, так різне на ним буває.","Як світ великий, так різне на ньому буває."
,"Що світ, так и люде.","Що світ, так і люди."
,Земля -- мати.,Земля — мати.
,"Орел летить найвишче, а хрін росте найглибше.","Орел летить найвище, а хрін росте найглибше."
,Дорогий товар з під землі йде.,Дорогий товар з-під землі йде.
410,Камінь росте без коріння.,Камінь росте без коріння.
,"Місяць Лютень питає, чи обутий; місяць Марець з трояка бика ріг збиває.","Місяць Лютий питає, чи взутий; місяць Березень з трирічного бика ріг збиває."
,"Лютий питаєцця, чи добре обутий.","Лютий питається, чи добре взутий."
,Марець третяку бику ріг зломить.,Березень трирічному бику ріг зломить.
,"Як прийде Марець, то обмерзне стерцю наледь.","Як прийде Березень, то обмерзне стернині наледь."
,На Сорок Святих сорока сорок паличок в гніздо положить.,На Сорок Святих сорока сорок паличок у гніздо покладе.
,З Сорока Святих сорок морозів буде.,Із Сорока Святих сорок морозів буде.
,На Теплого Олекси щука риба лід хвостом розбиває.,На Теплого Олексія щука риба лід хвостом розбиває.
,До первого грому земля не размерзаєцця.,До першого грому земля не розмерзається.
,На Благовіщення й птиця гнізда не вьє.,На Благовіщення й птиця гнізда не в'є.
,На благовісному тижні вдовиш плуг.,На благовісному тижні вдовиш плуг.
420,Із благовісного теляти добра не ждати.,Із благовісного теляти добра не ждати.
,"Який день на Благовіщення, такий на Великдень.","Який день на Благовіщення, такий на Великдень."
,"Похвала похвалицця, а Вербна поставицця, а Біленька й побілить.","Похвала похвалиться, а Вербна поставиться, а Біленька й побіліє."
,На Похвалу сорока яйцем похвалицця.,На Похвалу сорока яйцем похвалиться.
,"Прийде Вербниця, назад зіма вернецця.","Прийде Вербниця, назад зима вернеться."
,"Вербич, три кожухи тябрич.","Вербич, три кожухи тягрич."
,"К Великодню сорочка хоч лихенька, аби біленька; а к Різдву хоч сурова, аби нова.","До Великодня сорочка хоч лихенька, аби біленька; а до Різдва хоч сурова, аби нова."
,"Догодуй бджолу до Ивана, то паряде тебе, як пана.","Догодуй бджолу до Івана, то вберже тебе, як пана."
,"Годуй мене до Ивана, а я зроблю тебе паном.","Годуй мене до Івана, а я зроблю тебе паном."
,"Святий Юр по полю ходить, хліб-жито родить.","Святий Юрій по полю ходить, хліб-жито родить."
,Святий Юр звіра пасе (вовків).,Святий Юрій звіра пасе (вовків).
,На Юрья ворона у житі сховаєцця.,На Юрія ворона у житі сховається.
,На Юра сховаєцця в житі кура.,На Юрія сховається в житі курка.
,"Як піде дощ на Юрья, то буде хліб і дурня.","Як піде дощ на Юрія, то буде хліб і дурня."
,"Коли закує до Юрья на голе дерево, то буде голодне літо; а як на листя, то буде поліття.","Коли закує до Юрія на голе дерево, то буде голодне літо; а як на листя, то буде погоже літо."
440,"На Юрія сіна кинь, та й вилка закинь.","На Юрія сіно кинь, та й вила закинь."
,"До Юрія догодуй скотину, та й вила закинь.","До Юрія догодуй скотину, та й вила закинь."
,"До Юрія сіна і в дурня, а на Миколу подавай та вила поховай.","До Юрія сіна і в дурня, а на Миколу подавай та вила поховай."
,На Юрья повинна бути паша й у дурня.,На Юрія повинна бути паша й у дурня.
,"У дурня сіна стане до Юрья, а у розумного до Миколи.","У дурня сіна стане до Юрія, а у розумного до Миколи."
,"До Юрья б'ють дурня, а по Юрьі б'ють розумного.","До Юрія б'ють дурня, а після Юрія б'ють розумного."
,"Коли на Громницю півень не наптвед водиці, то на Юрью віл не наїсдця трави.","Коли на Громницю півень не нап'ється водиці, то на Юрія віл не наїсться трави."
,"Сухий Марець, мокрий Май -- буде жито, коби гай.","Сухий Березень, мокрий Травень — буде жито, якби гай."
,"Теплий Апріль, мокрий Май -- буде хліб, як гай.","Теплий Квітень, мокрий Травень — буде хліб, як гай."
,"Мокрий Апрель, а сухий Май, то буде по клунях рай.","Мокрий Квітень, а сухий Травень, то буде по клунях рай."
,"Май -- волам дай, сам на піч утікай.","Травень — волам дай, сам на піч утікай."
,Коли місяць Май -- кождий собі дбай.,Коли місяць Травень — кожен собі дбай.
,"Як випадуть в Маї три дощі добрих, то дадуть хліба на три годи.","Як випадуть у Травні три дощі добрих, то дадуть хліба на три роки."
450,"Хто в Маї звінчаєцця, буде вік маяцьця.","Хто в Травні звінчається, буде вік маятися."
,На Гліба-Бориса до хліба берися.,На Гліба-Бориса до хліба берися.
,"До Маколя ніколи не сій гречки, не стрижи овечки.","До Миколи ніколи не сій гречки, не стрижи овечки."
,Св. Микола не поставить кола.,Святий Микола не поставить кола.
,"До весняного Миколи не можна купацьця, бо з чоловіка верба виросте.","До весняного Миколи не можна купатися, бо з чоловіка верба виросте."
458,До Духа не кидайся кожуха.,До Духа не кидайся кожуха.
,По Святім Дусі та все в кожусі.,По Святім Дусі та все в кожусі.
,"А мине Дух, надівай другий кожух.","А мине Дух, надягай другий кожух."
,Петрівка -- переднівок.,Петрівка — переднівок.
,Петрівка на хліб катівка.,Петрівка на хліб катівка.
,Хліб на Петрівку ощаджай.,Хліб на Петрівку ощаджай.
,Після Ивана не треба жупана.,Після Івана не треба жупана.
,"Коли до Ивана просо буде з ложку, то буде й в ложку.","Коли до Івана просо буде з ложку, то буде й у ложку."
,Прийшов Петро -- вирвав листок; прийшов Йлля -- вирвав и два; а прийшов Спас -- бери рукавиці про запас; прийшла Пречиста -- на дереві чисто; прийшла Покрова -- па дереві голо.,Прийшов Петро — вирвав листок; прийшов Ілля — вирвав і два; а прийшов Спас — бери рукавиці про запас; прийшла Пречиста — на дереві чисто; прийшла Покрова — на дереві голо.
,"По Петру, то й по теплу.","По Петру, то й по теплу."
470,Бабське літо до Петра тілько.,Бабське літо до Петра тільки.
,Зузуля мандрикою вдавилась.,Зозуля мандрикою вдавилась.
473,"Як на Макрини буде дощ, то осінь буде мокра.","Як на Макрини буде дощ, то осінь буде мокра."
475,"До Йллі хмари ходять за вітром, а в Йллі проти вітру.","До Іллі хмари ходять за вітром, а в Іллі проти вітру."
,"Як прийде Йлля, так наробить у полі гнилля.","Як прийде Ілля, так наробить у полі гнилля."
,Після Йллі нехай рій сидить на гілді.,Після Іллі нехай рій сидить на гілці.
,"До Йллі гарні рої, а після Йллі -- хоч плюнь на їх.","До Іллі гарні рої, а після Іллі — хоч плюнь на них."
,На Гліба й Бориса за хліб не берися.,На Гліба й Бориса за хліб не берися.
,"Св. Бориса, сам бережися (Паликопа).","Святого Бориса, сам бережися (Паликопа)."
,Св. Борисе! сам боронися.,Святий Борисе! сам боронися.
,"До Спасівки мухи на пана роблять, а в Спасівку на себе.","До Спасівки мухи на пана роблять, а в Спасівку на себе."
,Спасівка -- ласівка; а Петрівка -- голодівка.,Спасівка — ласівка; а Петрівка — голодівка.
,"Прийшов Спас, держи рукавички про запас.","Прийшов Спас, держи рукавички про запас."
,Од Спаса та й рукавиці до паса.,Від Спаса та й рукавиці до пояса.
,На Семена-Юди боїдця кінь груди.,На Семена-Юди боїться кінь груди.
,"Прийшла Пречиста, взяла комара нечиста.","Прийшла Пречиста, взяла комара нечиста."
,Прийде Пречиста -- буде по дереві листу чисто.,Прийде Пречиста — буде по дереві листу чисто.
,Прийшла Пречиста розносе старостів.,Прийшла Пречиста розносить старостів.
490,Покров! патопи хату без дров.,Покров! натопи хату без дров.
